Barcode,Physical Location,Title,Enumeration,Content Type,Filename,Date published,Notes
<dc:identifier>?,<dc:description>,<dc:title>,,<dc:type>,<dc:identifier>,<dc:date.issued>,
123456 (if we have),Cushing,Texas Aggie,v.1:no.1,Text,123456.pdf (DISC to fill in),"YYYY-MM-DD, 1921-05-15",remove before exporting for metadata use
,Cushing,Texas Aggie,v.1:no.2,Text,,1921-05-15,start box 1
,Cushing,Texas Aggie,v.2:no.3,Text,,1922-08-15,3 copies
,Cushing,Texas Aggie,v.2:no.7,Text,,1922-11-15,
,Cushing,Texas Aggie,v.2:no.14,Text,,1923-05-15,
,Cushing,Texas Aggie,v.3:no.5,Text,,1924-03-15,
,Cushing,Texas Aggie,v.3:no.6,Text,,1924-03-29,
,Cushing,Texas Aggie,v.3:no.7,Text,,1924-04-15,
,Cushing,Texas Aggie,v.3:no.8,Text,,1924-04-30,
,Cushing,Texas Aggie,v.3:no.9,Text,,1924-05-16,
,Cushing,Texas Aggie,v.3:no.10,Text,,1924-06-16,2 copies
,Cushing,Texas Aggie,v.3:no.11,Text,,1924-07-18,
,Cushing,Texas Aggie,v.3:no.15,Text,,1924-10-15,
,Cushing,Texas Aggie,v.3:no.17,Text,,1924-11-15,
,Cushing,Texas Aggie,v.3:no.18,Text,,1924-12-01,
,Cushing,Texas Aggie,v.3:no.25,Text,,1925-06-16,
,Cushing,Texas Aggie,v.4:no.5,Text,,1925-12-03,
,Cushing,Texas Aggie,v.4:no.16,Text,,1926-06-21,
,Cushing,Texas Aggie,v.4:no.17,Text,,1926-07-18,
,Cushing,Texas Aggie,v.4:no.22,Text,,1926-10-29,2 copies
,Cushing,Texas Aggie,v.4:no.38,Text,,1927-08-15,
,Cushing,Texas Aggie,v.4:no.42,Text,,1927-11-05,
,Cushing,Texas Aggie,v.4:no.43,Text,,1927-12-01,
,Cushing,Texas Aggie,v.4:no.44,Text,,1927-12-15,
,Cushing,Texas Aggie,v.4:no.49,Text,,1928-03-15,
,Cushing,Texas Aggie,v.4:no.55,Text,,1928-08-01,
,Cushing,Texas Aggie,v.4:no.65,Text,,1929-02-15,
,Cushing,Texas Aggie,v.4:no.73,Text,,1929-08-15,
,Cushing,Texas Aggie,v.5:no.6,Text,,1929-11-15,
,Cushing,Texas Aggie,v.6:no.10,Text,,1930-06-04,
,Cushing,Texas Aggie,v.6:no.15,Text,,1930-10-15,
,Cushing,Texas Aggie,v.8:no.9,Text,,1931-06-01,2 copies
,Cushing,Texas Aggie,v.8:no.11,Text,,1931-08-10,
,Cushing,Texas Aggie,v.8:no.12,Text,,1931-09-15,
,Cushing,Texas Aggie,v.8:no.13,Text,,1931-10-01,
,Cushing,Texas Aggie,v.8:no.14,Text,,1931-10-05,
,Cushing,Texas Aggie,v.8:no.15,Text,,1931-11-01,
,Cushing,Texas Aggie,v.8:no.16,Text,,1931-11-15,
,Cushing,Texas Aggie,v.9:no.4,Text,,1932-03-15,
,Cushing,Texas Aggie,v.9:no.6,Text,,1932-04-15,
,Cushing,Texas Aggie,v.9:no.7,Text,,1932-05-01,
,Cushing,Texas Aggie,v.9:no.9,Text,,1932-06-23,
,Cushing,Texas Aggie,v.9:no.10,Text,,1932-08-08,
,Cushing,Texas Aggie,v.9:no.12,Text,,1932-10-01,
,Cushing,Texas Aggie,v.9:no.13,Text,,1932-10-15,
,Cushing,Texas Aggie,v.9:no.14,Text,,1932-11-01,
,Cushing,Texas Aggie,v.9:no.15,Text,,1932-12-01,
,Cushing,Texas Aggie,v.10:no.1,Text,,1933-01-01,
,Cushing,Texas Aggie,v.10:no.2,Text,,1933-02-01,
,Cushing,Texas Aggie,v.10:no.3,Text,,1933-02-15,
,Cushing,Texas Aggie,v.10:no.4,Text,,1933-03-01,
,Cushing,Texas Aggie,v.10:no.6,Text,,1933-04-15,2 copies
,Cushing,Texas Aggie,v.10:no.7,Text,,1933-05-01,
,Cushing,Texas Aggie,v.10:no.8,Text,,1933-05-15,2 copies
,Cushing,Texas Aggie,v.10:no.11,Text,,1933-09-01,
,Cushing,Texas Aggie,v.10:no.14,Text,,1933-10-15,
,Cushing,Texas Aggie,v.10:no.15,Text,,1933-11-01,
,Cushing,Texas Aggie,v.10:no.16,Text,,1933-11-20,
,Cushing,Texas Aggie,v.10:no.17,Text,,1933-12-10,2 copies
,Cushing,Texas Aggie,v.10:no.18,Text,,1934-01-12,2 copies
,Cushing,Texas Aggie,v.10:no.19,Text,,1934-02-01,
,Cushing,Texas Aggie,v.10:no.20,Text,,1934-02-15,
,Cushing,Texas Aggie,v.10:no.21,Text,,1934-03-01,
,Cushing,Texas Aggie,v.10:no.22,Text,,1934-03-15,
,Cushing,Texas Aggie,v.10:no.23,Text,,1934-04-01,
,Cushing,Texas Aggie,v.10:no.24,Text,,1934-04-15,2 copies
,Cushing,Texas Aggie,v.10:no.25,Text,,1934-05-15,3 copies
,Cushing,Texas Aggie,v.10:no.26,Text,,1934-06-01,2 copies
,Cushing,Texas Aggie,v.10:no.27,Text,,1934-07-01,2 copies
,Cushing,Texas Aggie,v.10:no.28,Text,,1934-08-15,2 copies
,Cushing,Texas Aggie,v.10:no.29,Text,,1934-09-01,2 copies
,Cushing,Texas Aggie,v.10:no.30,Text,,1934-10-01,
